,sales,date,region
115,1800.0,2018-03-06,west
116,1581.0,2018-03-07,north
117,1602.0,2018-03-07,south
118,1608.0,2018-03-07,east
119,1650.0,2018-03-07,west
120,1611.0,2018-03-08,north
121,1530.0,2018-03-08,south
122,1698.0,2018-03-08,east
123,1668.0,2018-03-08,west
124,1746.0,2018-03-09,north
125,1524.0,2018-03-09,south
126,1506.0,2018-03-09,east
127,1704.0,2018-03-09,west
128,1788.0,2018-03-10,north
129,1719.0,2018-03-10,south
130,1746.0,2018-03-10,east
131,1584.0,2018-03-10,west
132,1692.0,2018-03-11,north
133,1635.0,2018-03-11,south
134,1608.0,2018-03-11,east
135,1590.0,2018-03-11,west
136,1599.0,2018-03-12,north
137,1518.0,2018-03-12,south
138,1602.0,2018-03-12,east
139,1659.0,2018-03-12,west
140,1644.0,2018-03-13,north
141,1611.0,2018-03-13,south
142,1554.0,2018-03-13,east
143,1515.0,2018-03-13,west
144,1515.0,2018-03-14,north
145,1632.0,2018-03-14,south
146,1512.0,2018-03-14,east
147,1776.0,2018-03-14,west
148,1677.0,2018-03-15,north
149,1503.0,2018-03-15,south
150,1605.0,2018-03-15,east
151,1647.0,2018-03-15,west
152,1506.0,2018-03-16,north
153,1737.0,2018-03-16,south
154,1590.0,2018-03-16,east
155,1767.0,2018-03-16,west
156,1593.0,2018-03-17,north
157,1614.0,2018-03-17,south
158,1710.0,2018-03-17,east
159,1662.0,2018-03-17,west
160,1650.0,2018-03-18,north
161,1755.0,2018-03-18,south
162,1698.0,2018-03-18,east
163,1659.0,2018-03-18,west
164,1683.0,2018-03-19,north
165,1509.0,2018-03-19,south
166,1500.0,2018-03-19,east
167,1545.0,2018-03-19,west
168,1647.0,2018-03-20,north
169,1614.0,2018-03-20,south
170,1629.0,2018-03-20,east
171,1677.0,2018-03-20,west
172,1743.0,2018-03-21,north
173,1569.0,2018-03-21,south
174,1593.0,2018-03-21,east
175,1578.0,2018-03-21,west
176,1578.0,2018-03-22,north
177,1581.0,2018-03-22,south
178,1653.0,2018-03-22,east
179,1578.0,2018-03-22,west
180,1761.0,2018-03-23,north
181,1611.0,2018-03-23,south
182,1749.0,2018-03-23,east
183,1764.0,2018-03-23,west
184,1716.0,2018-03-24,north
185,1710.0,2018-03-24,south
186,1800.0,2018-03-24,east
187,1728.0,2018-03-24,west
188,1743.0,2018-03-25,north
189,1764.0,2018-03-25,south
190,1740.0,2018-03-25,east
191,1707.0,2018-03-25,west
192,1509.0,2018-03-26,north
193,1641.0,2018-03-26,south
194,1533.0,2018-03-26,east
195,1752.0,2018-03-26,west
196,1767.0,2018-03-27,north
197,1590.0,2018-03-27,south
198,1533.0,2018-03-27,east
199,1704.0,2018-03-27,west
200,1671.0,2018-03-28,north
201,1527.0,2018-03-28,south
202,1524.0,2018-03-28,east
203,1629.0,2018-03-28,west
204,1722.0,2018-03-29,north
205,1557.0,2018-03-29,south
206,1686.0,2018-03-29,east
207,1779.0,2018-03-29,west
208,1734.0,2018-03-30,north
209,1776.0,2018-03-30,south
210,1554.0,2018-03-30,east
211,1725.0,2018-03-30,west
212,1617.0,2018-03-31,north
213,1635.0,2018-03-31,south
214,1605.0,2018-03-31,east
215,1785.0,2018-03-31,west
216,1761.0,2018-04-01,north
217,1530.0,2018-04-01,south
218,1710.0,2018-04-01,east
219,1506.0,2018-04-01,west
220,1509.0,2018-04-02,north
221,1797.0,2018-04-02,south
222,1662.0,2018-04-02,east
223,1530.0,2018-04-02,west
224,1767.0,2018-04-03,north
225,1767.0,2018-04-03,south
226,1614.0,2018-04-03,east
227,1533.0,2018-04-03,west
228,1767.0,2018-04-04,north
229,1761.0,2018-04-04,south
230,1566.0,2018-04-04,east
231,1623.0,2018-04-04,west
232,1506.0,2018-04-05,north
233,1512.0,2018-04-05,south
234,1692.0,2018-04-05,east
235,1749.0,2018-04-05,west
236,1701.0,2018-04-06,north
237,1752.0,2018-04-06,south
238,1632.0,2018-04-06,east
239,1515.0,2018-04-06,west
240,1725.0,2018-04-07,north
241,1611.0,2018-04-07,south
242,1788.0,2018-04-07,east
243,1617.0,2018-04-07,west
244,1656.0,2018-04-08,north
245,1674.0,2018-04-08,south
246,1557.0,2018-04-08,east
247,1701.0,2018-04-08,west
248,1686.0,2018-04-09,north
249,1782.0,2018-04-09,south
250,1641.0,2018-04-09,east
251,1557.0,2018-04-09,west
252,1686.0,2018-04-10,north
253,1527.0,2018-04-10,south
254,1698.0,2018-04-10,east
255,1728.0,2018-04-10,west
256,1671.0,2018-04-11,north
257,1527.0,2018-04-11,south
258,1581.0,2018-04-11,east
259,1764.0,2018-04-11,west
260,1653.0,2018-04-12,north
261,1626.0,2018-04-12,south
262,1782.0,2018-04-12,east
263,1749.0,2018-04-12,west
264,1539.0,2018-04-13,north
265,1752.0,2018-04-13,south
266,1674.0,2018-04-13,east
267,1749.0,2018-04-13,west
268,1569.0,2018-04-14,north
269,1794.0,2018-04-14,south
270,1674.0,2018-04-14,east
271,1638.0,2018-04-14,west
272,1515.0,2018-04-15,north
273,1527.0,2018-04-15,south
274,1602.0,2018-04-15,east
275,1653.0,2018-04-15,west
276,1602.0,2018-04-16,north
277,1707.0,2018-04-16,south
278,1548.0,2018-04-16,east
279,1527.0,2018-04-16,west
280,1599.0,2018-04-17,north
281,1728.0,2018-04-17,south
282,1704.0,2018-04-17,east
283,1539.0,2018-04-17,west
284,1545.0,2018-04-18,north
285,1797.0,2018-04-18,south
286,1515.0,2018-04-18,east
287,1719.0,2018-04-18,west
288,1713.0,2018-04-19,north
289,1674.0,2018-04-19,south
290,1767.0,2018-04-19,east
291,1767.0,2018-04-19,west
292,1668.0,2018-04-20,north
293,1620.0,2018-04-20,south
294,1677.0,2018-04-20,east
295,1509.0,2018-04-20,west
296,1683.0,2018-04-21,north
297,1743.0,2018-04-21,south
298,1644.0,2018-04-21,east
299,1578.0,2018-04-21,west
300,1572.0,2018-04-22,north
301,1545.0,2018-04-22,south
302,1557.0,2018-04-22,east
303,1626.0,2018-04-22,west
304,1710.0,2018-04-23,north
305,1659.0,2018-04-23,south
306,1665.0,2018-04-23,east
307,1521.0,2018-04-23,west
308,1503.0,2018-04-24,north
309,1650.0,2018-04-24,south
310,1689.0,2018-04-24,east
311,1743.0,2018-04-24,west
312,1623.0,2018-04-25,north
313,1503.0,2018-04-25,south
314,1758.0,2018-04-25,east
315,1557.0,2018-04-25,west
316,1713.0,2018-04-26,north
317,1734.0,2018-04-26,south
318,1740.0,2018-04-26,east
319,1563.0,2018-04-26,west
320,1716.0,2018-04-27,north
321,1791.0,2018-04-27,south
322,1674.0,2018-04-27,east
323,1716.0,2018-04-27,west
324,1632.0,2018-04-28,north
325,1641.0,2018-04-28,south
326,1584.0,2018-04-28,east
327,1590.0,2018-04-28,west
328,1713.0,2018-04-29,north
329,1593.0,2018-04-29,south
330,1740.0,2018-04-29,east
331,1638.0,2018-04-29,west
332,1653.0,2018-04-30,north
333,1590.0,2018-04-30,south
334,1593.0,2018-04-30,east
335,1602.0,2018-04-30,west
336,1785.0,2018-05-01,north
337,1764.0,2018-05-01,south
338,1506.0,2018-05-01,east
339,1536.0,2018-05-01,west
340,1623.0,2018-05-02,north
341,1674.0,2018-05-02,south
342,1791.0,2018-05-02,east
343,1653.0,2018-05-02,west
344,1785.0,2018-05-03,north
345,1569.0,2018-05-03,south
346,1500.0,2018-05-03,east
347,1770.0,2018-05-03,west
348,1653.0,2018-05-04,north
349,1590.0,2018-05-04,south
350,1671.0,2018-05-04,east
351,1629.0,2018-05-04,west
352,1578.0,2018-05-05,north
353,1665.0,2018-05-05,south
354,1575.0,2018-05-05,east
355,1587.0,2018-05-05,west
356,1674.0,2018-05-06,north
357,1785.0,2018-05-06,south
358,1719.0,2018-05-06,east
359,1617.0,2018-05-06,west
360,1794.0,2018-05-07,north
361,1563.0,2018-05-07,south
362,1728.0,2018-05-07,east
363,1740.0,2018-05-07,west
364,1617.0,2018-05-08,north
365,1650.0,2018-05-08,south
366,1728.0,2018-05-08,east
367,1635.0,2018-05-08,west
368,1584.0,2018-05-09,north
369,1647.0,2018-05-09,south
370,1551.0,2018-05-09,east
371,1512.0,2018-05-09,west
372,1737.0,2018-05-10,north
373,1551.0,2018-05-10,south
374,1515.0,2018-05-10,east
375,1716.0,2018-05-10,west
376,1746.0,2018-05-11,north
377,1677.0,2018-05-11,south
378,1584.0,2018-05-11,east
379,1617.0,2018-05-11,west
380,1743.0,2018-05-12,north
381,1533.0,2018-05-12,south
382,1521.0,2018-05-12,east
383,1578.0,2018-05-12,west
384,1545.0,2018-05-13,north
385,1713.0,2018-05-13,south
386,1665.0,2018-05-13,east
387,1644.0,2018-05-13,west
388,1776.0,2018-05-14,north
389,1560.0,2018-05-14,south
390,1644.0,2018-05-14,east
391,1503.0,2018-05-14,west
392,1800.0,2018-05-15,north
393,1758.0,2018-05-15,south
394,1701.0,2018-05-15,east
395,1671.0,2018-05-15,west
396,1593.0,2018-05-16,north
397,1617.0,2018-05-16,south
398,1626.0,2018-05-16,east
399,1629.0,2018-05-16,west
400,1728.0,2018-05-17,north
401,1506.0,2018-05-17,south
402,1590.0,2018-05-17,east
403,1626.0,2018-05-17,west
404,1782.0,2018-05-18,north
405,1572.0,2018-05-18,south
406,1539.0,2018-05-18,east
407,1509.0,2018-05-18,west
408,1788.0,2018-05-19,north
409,1713.0,2018-05-19,south
410,1626.0,2018-05-19,east
411,1629.0,2018-05-19,west
412,1548.0,2018-05-20,north
413,1716.0,2018-05-20,south
414,1752.0,2018-05-20,east
415,1638.0,2018-05-20,west
416,1575.0,2018-05-21,north
417,1671.0,2018-05-21,south
418,1626.0,2018-05-21,east
419,1572.0,2018-05-21,west
420,1572.0,2018-05-22,north
421,1569.0,2018-05-22,south
422,1581.0,2018-05-22,east
423,1521.0,2018-05-22,west
424,1641.0,2018-05-23,north
425,1692.0,2018-05-23,south
426,1713.0,2018-05-23,east
427,1563.0,2018-05-23,west
428,1524.0,2018-05-24,north
429,1533.0,2018-05-24,south
430,1695.0,2018-05-24,east
431,1533.0,2018-05-24,west
432,1599.0,2018-05-25,north
433,1665.0,2018-05-25,south
434,1713.0,2018-05-25,east
435,1644.0,2018-05-25,west
436,1776.0,2018-05-26,north
437,1530.0,2018-05-26,south
438,1650.0,2018-05-26,east
439,1512.0,2018-05-26,west
440,1629.0,2018-05-27,north
441,1707.0,2018-05-27,south
442,1521.0,2018-05-27,east
443,1761.0,2018-05-27,west
444,1755.0,2018-05-28,north
445,1659.0,2018-05-28,south
446,1800.0,2018-05-28,east
447,1539.0,2018-05-28,west
448,1713.0,2018-05-29,north
449,1752.0,2018-05-29,south
450,1629.0,2018-05-29,east
451,1635.0,2018-05-29,west
452,1674.0,2018-05-30,north
453,1701.0,2018-05-30,south
454,1614.0,2018-05-30,east
455,1794.0,2018-05-30,west
456,1725.0,2018-05-31,north
457,1659.0,2018-05-31,south
458,1536.0,2018-05-31,east
459,1620.0,2018-05-31,west
460,1794.0,2018-06-01,north
461,1623.0,2018-06-01,south
462,1665.0,2018-06-01,east
463,1671.0,2018-06-01,west
464,1752.0,2018-06-02,north
465,1707.0,2018-06-02,south
466,1797.0,2018-06-02,east
467,1668.0,2018-06-02,west
468,1596.0,2018-06-03,north
469,1503.0,2018-06-03,south
470,1578.0,2018-06-03,east
471,1680.0,2018-06-03,west
472,1608.0,2018-06-04,north
473,1683.0,2018-06-04,south
474,1572.0,2018-06-04,east
475,1656.0,2018-06-04,west
476,1713.0,2018-06-05,north
477,1698.0,2018-06-05,south
478,1557.0,2018-06-05,east
479,1782.0,2018-06-05,west
480,1695.0,2018-06-06,north
481,1680.0,2018-06-06,south
482,1761.0,2018-06-06,east
483,1659.0,2018-06-06,west
484,1518.0,2018-06-07,north
485,1572.0,2018-06-07,south
486,1785.0,2018-06-07,east
487,1557.0,2018-06-07,west
488,1719.0,2018-06-08,north
489,1677.0,2018-06-08,south
490,1695.0,2018-06-08,east
491,1602.0,2018-06-08,west
492,1782.0,2018-06-09,north
493,1773.0,2018-06-09,south
494,1656.0,2018-06-09,east
495,1665.0,2018-06-09,west
496,1578.0,2018-06-10,north
497,1641.0,2018-06-10,south
498,1737.0,2018-06-10,east
499,1557.0,2018-06-10,west
500,1788.0,2018-06-11,north
501,1677.0,2018-06-11,south
502,1698.0,2018-06-11,east
503,1728.0,2018-06-11,west
504,1776.0,2018-06-12,north
505,1551.0,2018-06-12,south
506,1548.0,2018-06-12,east
507,1542.0,2018-06-12,west
508,1683.0,2018-06-13,north
509,1683.0,2018-06-13,south
510,1572.0,2018-06-13,east
511,1683.0,2018-06-13,west
512,1761.0,2018-06-14,north
513,1668.0,2018-06-14,south
514,1599.0,2018-06-14,east
515,1593.0,2018-06-14,west
516,1623.0,2018-06-15,north
517,1737.0,2018-06-15,south
518,1593.0,2018-06-15,east
519,1788.0,2018-06-15,west
520,1659.0,2018-06-16,north
521,1641.0,2018-06-16,south
522,1575.0,2018-06-16,east
523,1611.0,2018-06-16,west
524,1599.0,2018-06-17,north
525,1530.0,2018-06-17,south
526,1608.0,2018-06-17,east
527,1626.0,2018-06-17,west
528,1530.0,2018-06-18,north
529,1707.0,2018-06-18,south
530,1611.0,2018-06-18,east
531,1635.0,2018-06-18,west
532,1593.0,2018-06-19,north
533,1749.0,2018-06-19,south
534,1623.0,2018-06-19,east
535,1608.0,2018-06-19,west
536,1665.0,2018-06-20,north
537,1659.0,2018-06-20,south
538,1734.0,2018-06-20,east
539,1557.0,2018-06-20,west
540,1797.0,2018-06-21,north
541,1587.0,2018-06-21,south
542,1557.0,2018-06-21,east
543,1542.0,2018-06-21,west
544,1743.0,2018-06-22,north
545,1797.0,2018-06-22,south
546,1686.0,2018-06-22,east
547,1683.0,2018-06-22,west
548,1791.0,2018-06-23,north
549,1554.0,2018-06-23,south
550,1695.0,2018-06-23,east
551,1566.0,2018-06-23,west
552,1563.0,2018-06-24,north
553,1623.0,2018-06-24,south
554,1530.0,2018-06-24,east
555,1662.0,2018-06-24,west
556,1650.0,2018-06-25,north
557,1602.0,2018-06-25,south
558,1548.0,2018-06-25,east
559,1623.0,2018-06-25,west
560,1728.0,2018-06-26,north
561,1533.0,2018-06-26,south
562,1503.0,2018-06-26,east
563,1629.0,2018-06-26,west
564,1581.0,2018-06-27,north
565,1659.0,2018-06-27,south
566,1707.0,2018-06-27,east
567,1665.0,2018-06-27,west
568,1563.0,2018-06-28,north
569,1638.0,2018-06-28,south
570,1692.0,2018-06-28,east
571,1503.0,2018-06-28,west
572,1686.0,2018-06-29,north
573,1764.0,2018-06-29,south
574,1629.0,2018-06-29,east
575,1779.0,2018-06-29,west
576,1554.0,2018-06-30,north
577,1653.0,2018-06-30,south
578,1515.0,2018-06-30,east
579,1557.0,2018-06-30,west
580,1746.0,2018-07-01,north
581,1671.0,2018-07-01,south
582,1716.0,2018-07-01,east
583,1554.0,2018-07-01,west
584,1695.0,2018-07-02,north
585,1611.0,2018-07-02,south
586,1680.0,2018-07-02,east
587,1671.0,2018-07-02,west
588,1644.0,2018-07-03,north
589,1638.0,2018-07-03,south
590,1623.0,2018-07-03,east
591,1515.0,2018-07-03,west
592,1743.0,2018-07-04,north
593,1587.0,2018-07-04,south
594,1764.0,2018-07-04,east
595,1572.0,2018-07-04,west
596,1752.0,2018-07-05,north
597,1647.0,2018-07-05,south
598,1575.0,2018-07-05,east
599,1500.0,2018-07-05,west
600,1743.0,2018-07-06,north
601,1566.0,2018-07-06,south
602,1758.0,2018-07-06,east
603,1689.0,2018-07-06,west
604,1776.0,2018-07-07,north
605,1770.0,2018-07-07,south
606,1695.0,2018-07-07,east
607,1566.0,2018-07-07,west
608,1623.0,2018-07-08,north
609,1776.0,2018-07-08,south
610,1515.0,2018-07-08,east
611,1761.0,2018-07-08,west
612,1623.0,2018-07-09,north
613,1788.0,2018-07-09,south
614,1542.0,2018-07-09,east
615,1515.0,2018-07-09,west
616,1794.0,2018-07-10,north
617,1794.0,2018-07-10,south
618,1755.0,2018-07-10,east
619,1761.0,2018-07-10,west
620,1605.0,2018-07-11,north
621,1569.0,2018-07-11,south
622,1638.0,2018-07-11,east
623,1677.0,2018-07-11,west
624,1593.0,2018-07-12,north
625,1500.0,2018-07-12,south
626,1539.0,2018-07-12,east
627,1719.0,2018-07-12,west
628,1749.0,2018-07-13,north
629,1596.0,2018-07-13,south
630,1680.0,2018-07-13,east
631,1509.0,2018-07-13,west
632,1500.0,2018-07-14,north
633,1653.0,2018-07-14,south
634,1620.0,2018-07-14,east
635,1575.0,2018-07-14,west
636,1737.0,2018-07-15,north
637,1713.0,2018-07-15,south
638,1698.0,2018-07-15,east
639,1539.0,2018-07-15,west
640,1773.0,2018-07-16,north
641,1707.0,2018-07-16,south
642,1554.0,2018-07-16,east
643,1515.0,2018-07-16,west
644,1551.0,2018-07-17,north
645,1566.0,2018-07-17,south
646,1788.0,2018-07-17,east
647,1614.0,2018-07-17,west
648,1704.0,2018-07-18,north
649,1656.0,2018-07-18,south
650,1530.0,2018-07-18,east
651,1659.0,2018-07-18,west
652,1620.0,2018-07-19,north
653,1725.0,2018-07-19,south
654,1704.0,2018-07-19,east
655,1527.0,2018-07-19,west
656,1731.0,2018-07-20,north
657,1761.0,2018-07-20,south
658,1644.0,2018-07-20,east
659,1653.0,2018-07-20,west
660,1725.0,2018-07-21,north
661,1698.0,2018-07-21,south
662,1662.0,2018-07-21,east
663,1656.0,2018-07-21,west
664,1608.0,2018-07-22,north
665,1773.0,2018-07-22,south
666,1659.0,2018-07-22,east
667,1647.0,2018-07-22,west
668,1638.0,2018-07-23,north
669,1623.0,2018-07-23,south
670,1719.0,2018-07-23,east
671,1629.0,2018-07-23,west
672,1701.0,2018-07-24,north
673,1725.0,2018-07-24,south
674,1752.0,2018-07-24,east
675,1557.0,2018-07-24,west
676,1500.0,2018-07-25,north
677,1707.0,2018-07-25,south
678,1533.0,2018-07-25,east
679,1737.0,2018-07-25,west
680,1605.0,2018-07-26,north
681,1767.0,2018-07-26,south
682,1551.0,2018-07-26,east
683,1521.0,2018-07-26,west
684,1659.0,2018-07-27,north
685,1611.0,2018-07-27,south
686,1695.0,2018-07-27,east
687,1632.0,2018-07-27,west
688,1515.0,2018-07-28,north
689,1584.0,2018-07-28,south
690,1596.0,2018-07-28,east
691,1743.0,2018-07-28,west
692,1791.0,2018-07-29,north
693,1599.0,2018-07-29,south
694,1749.0,2018-07-29,east
695,1755.0,2018-07-29,west
696,1755.0,2018-07-30,north
697,1662.0,2018-07-30,south
698,1509.0,2018-07-30,east
699,1776.0,2018-07-30,west
700,1695.0,2018-07-31,north
701,1707.0,2018-07-31,south
702,1548.0,2018-07-31,east
703,1578.0,2018-07-31,west
704,1563.0,2018-08-01,north
705,1674.0,2018-08-01,south
706,1554.0,2018-08-01,east
707,1665.0,2018-08-01,west
708,1527.0,2018-08-02,north
709,1617.0,2018-08-02,south
710,1548.0,2018-08-02,east
711,1671.0,2018-08-02,west
712,1668.0,2018-08-03,north
713,1671.0,2018-08-03,south
714,1719.0,2018-08-03,east
715,1668.0,2018-08-03,west
716,1536.0,2018-08-04,north
717,1734.0,2018-08-04,south
718,1743.0,2018-08-04,east
719,1776.0,2018-08-04,west
720,1650.0,2018-08-05,north
721,1599.0,2018-08-05,south
722,1614.0,2018-08-05,east
723,1773.0,2018-08-05,west
724,1611.0,2018-08-06,north
725,1605.0,2018-08-06,south
726,1554.0,2018-08-06,east
727,1788.0,2018-08-06,west
728,1566.0,2018-08-07,north
729,1560.0,2018-08-07,south
730,1551.0,2018-08-07,east
731,1626.0,2018-08-07,west
732,1665.0,2018-08-08,north
733,1539.0,2018-08-08,south
734,1506.0,2018-08-08,east
735,1617.0,2018-08-08,west
736,1797.0,2018-08-09,north
737,1794.0,2018-08-09,south
738,1620.0,2018-08-09,east
739,1683.0,2018-08-09,west
740,1620.0,2018-08-10,north
741,1554.0,2018-08-10,south
742,1701.0,2018-08-10,east
743,1785.0,2018-08-10,west
744,1689.0,2018-08-11,north
745,1650.0,2018-08-11,south
746,1533.0,2018-08-11,east
747,1587.0,2018-08-11,west
748,1509.0,2018-08-12,north
749,1743.0,2018-08-12,south
750,1719.0,2018-08-12,east
751,1743.0,2018-08-12,west
752,1701.0,2018-08-13,north
753,1629.0,2018-08-13,south
754,1638.0,2018-08-13,east
755,1611.0,2018-08-13,west
756,1623.0,2018-08-14,north
757,1635.0,2018-08-14,south
758,1716.0,2018-08-14,east
759,1707.0,2018-08-14,west
760,1602.0,2018-08-15,north
761,1542.0,2018-08-15,south
762,1800.0,2018-08-15,east
763,1734.0,2018-08-15,west
764,1788.0,2018-08-16,north
765,1614.0,2018-08-16,south
766,1743.0,2018-08-16,east
767,1770.0,2018-08-16,west
768,1776.0,2018-08-17,north
769,1713.0,2018-08-17,south
770,1623.0,2018-08-17,east
771,1752.0,2018-08-17,west
772,1527.0,2018-08-18,north
773,1776.0,2018-08-18,south
774,1689.0,2018-08-18,east
775,1713.0,2018-08-18,west
776,1509.0,2018-08-19,north
777,1575.0,2018-08-19,south
778,1701.0,2018-08-19,east
779,1575.0,2018-08-19,west
780,1581.0,2018-08-20,north
781,1779.0,2018-08-20,south
782,1662.0,2018-08-20,east
783,1506.0,2018-08-20,west
784,1794.0,2018-08-21,north
785,1659.0,2018-08-21,south
786,1644.0,2018-08-21,east
787,1707.0,2018-08-21,west
788,1704.0,2018-08-22,north
789,1500.0,2018-08-22,south
790,1539.0,2018-08-22,east
791,1800.0,2018-08-22,west
792,1557.0,2018-08-23,north
793,1554.0,2018-08-23,south
794,1788.0,2018-08-23,east
795,1563.0,2018-08-23,west
796,1548.0,2018-08-24,north
797,1560.0,2018-08-24,south
798,1734.0,2018-08-24,east
799,1644.0,2018-08-24,west
800,1629.0,2018-08-25,north
801,1677.0,2018-08-25,south
802,1764.0,2018-08-25,east
803,1515.0,2018-08-25,west
804,1542.0,2018-08-26,north
805,1545.0,2018-08-26,south
806,1668.0,2018-08-26,east
807,1584.0,2018-08-26,west
808,1605.0,2018-08-27,north
809,1740.0,2018-08-27,south
810,1602.0,2018-08-27,east
811,1509.0,2018-08-27,west
812,1566.0,2018-08-28,north
813,1680.0,2018-08-28,south
814,1656.0,2018-08-28,east
815,1722.0,2018-08-28,west
816,1662.0,2018-08-29,north
817,1794.0,2018-08-29,south
818,1734.0,2018-08-29,east
819,1647.0,2018-08-29,west
820,1635.0,2018-08-30,north
821,1743.0,2018-08-30,south
822,1665.0,2018-08-30,east
823,1770.0,2018-08-30,west
824,1749.0,2018-08-31,north
825,1695.0,2018-08-31,south
826,1644.0,2018-08-31,east
827,1602.0,2018-08-31,west
828,1560.0,2018-09-01,north
829,1500.0,2018-09-01,south
830,1719.0,2018-09-01,east
831,1557.0,2018-09-01,west
832,1527.0,2018-09-02,north
833,1653.0,2018-09-02,south
834,1506.0,2018-09-02,east
835,1575.0,2018-09-02,west
836,1749.0,2018-09-03,north
837,1770.0,2018-09-03,south
838,1674.0,2018-09-03,east
839,1650.0,2018-09-03,west
840,1794.0,2018-09-04,north
841,1509.0,2018-09-04,south
842,1785.0,2018-09-04,east
843,1539.0,2018-09-04,west
844,1731.0,2018-09-05,north
845,1617.0,2018-09-05,south
846,1656.0,2018-09-05,east
847,1599.0,2018-09-05,west
848,1713.0,2018-09-06,north
849,1506.0,2018-09-06,south
850,1758.0,2018-09-06,east
851,1650.0,2018-09-06,west
852,1791.0,2018-09-07,north
853,1623.0,2018-09-07,south
854,1776.0,2018-09-07,east
855,1653.0,2018-09-07,west
856,1659.0,2018-09-08,north
857,1755.0,2018-09-08,south
858,1533.0,2018-09-08,east
859,1557.0,2018-09-08,west
860,1527.0,2018-09-09,north
861,1614.0,2018-09-09,south
862,1638.0,2018-09-09,east
863,1704.0,2018-09-09,west
864,1650.0,2018-09-10,north
865,1656.0,2018-09-10,south
866,1782.0,2018-09-10,east
867,1527.0,2018-09-10,west
868,1578.0,2018-09-11,north
869,1767.0,2018-09-11,south
870,1749.0,2018-09-11,east
871,1524.0,2018-09-11,west
872,1719.0,2018-09-12,north
873,1695.0,2018-09-12,south
